,INS_INF,INFORMANTE,RESPONSAVEL_BP,COLETOR,NM_INFORMANTE,INSUMO,NM_INSUMO,CARACT_INSUMO,MARCA,PAIS,REGIAO,UF,MUNICIPIO,COTACAO,SAZONALIDADE,TIPO_ESTABELECIMENTO,TP_PRECO,PERIODICIDADE,JOB_UTILIZADO,ITEM_UTILIZADO,DATA_PRECO,PRECO,MEDIANA_PRECO,MEDIA_MOVEL,DESVIO_PADRAO,limite_inferior_anterior,limite_superior_anterior,dentro_limites
0,1460481,83012,ANAPE,CGOLI,TORRE E CIA SUPERMERCADOS S/A,19472,PÃO FRANCES,,,BR,SE,RJ,RJO,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M1,IPC,110911001,2022-04-01T00:00:00.000,15.98,14.09,14.09,,-Infinity,Infinity,true
1,643908,16367,ALPRO,CLAZI,DMA DISTRIBUIDORA S/A,19472,PÃO FRANCES,,,BR,SE,MG,BHE,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,IPC,110911001,2022-04-01T00:00:00.000,6.8,14.09,14.09,,-Infinity,Infinity,true
2,694319,31020,SYCAR,CGOLI,SUPERMERCADOS GUANABARA LTDA.,19472,PÃO FRANCES,,,BR,SE,RJ,RJO,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,TCERJ_GA,285016,2022-04-01T00:00:00.000,13.99,14.09,14.09,,-Infinity,Infinity,true
3,707929,14928,GISOU,MCBAR,CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.,19472,PÃO FRANCES,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,IPC,110911001,2022-04-01T00:00:00.000,15.19,14.09,14.09,,-Infinity,Infinity,true
4,675979,229,ANAPE,CGOLI,SUPERMERCADOS CARREFOUR,19472,PÃO FRANCES,,,BR,SE,RJ,RJO,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,TCERJ_GA,285016,2022-04-01T00:00:00.000,12.99,14.09,14.09,,-Infinity,Infinity,true
5,1460473,29916,ANAPE,CGOLI,SUPERMERCADOS INTERCONTINENTAL LTDA.,19472,PÃO FRANCES,,,BR,SE,RJ,RJO,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,IPC,110911001,2022-04-01T00:00:00.000,14.9,14.09,14.09,,-Infinity,Infinity,true
6,671236,38188,KEFER,CRURA,PADARIA VILA CONSTÄNCIA,19472,PÃO FRANCES,,,BR,SE,SP,SPO,U,,"PADARIAS,CONFEITARIAS E BOMBONIERES",VV,M1,IPC,110911002,2022-04-01T00:00:00.000,13,14.09,14.09,,-Infinity,Infinity,true
7,1352191,79913,URALA,URALA,CARREFOUR COMERCIO E INDUSTRIA LTDA,19472,PÃO FRANCES,,,BR,NE,PE,RCE,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,IPC,110911001,2022-04-01T00:00:00.000,14.19,14.09,14.09,,-Infinity,Infinity,true
8,1240393,72894,TEBAR,TEBAR,H&J COMERCIO DE ALIMENTOS LTDA - ME,19472,PÃO FRANCES,,,BR,NE,BA,SDR,U,,"PADARIAS,CONFEITARIAS E BOMBONIERES",VV,M1,IPC,110911002,2022-04-01T00:00:00.000,11,14.09,14.09,,-Infinity,Infinity,true
9,1182665,70467,SARAH,SARAH,PASSAROS E FLORES PAES E DOCES LTDA - EPP,19472,PÃO FRANCES,,,BR,SE,SP,SPO,U,,"PADARIAS,CONFEITARIAS E BOMBONIERES",VV,M1,IPC,110911002,2022-04-01T00:00:00.000,18.9,14.09,14.09,,-Infinity,Infinity,true
